Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 29 2024,Charlottesville,VA,Passenger,0,1,1,3,4,25.00
September 30 2019,Berkshire,MA,Passenger,0,1,1,4,5,20.00
October 31 2018,Thurston,WA,Passenger,663,551,1214,194970,196184,0.62
February 29 2020,Klickitat,WA,Passenger,49,41,90,15681,15771,0.57
June 30 2018,Charles,MD,Passenger,0,1,1,84,85,1.18
January 31 2022,Adams,WA,Truck,0,0,0,5433,5433,0.00
November 30 2022,St. Mary's,MD,Passenger,1,0,1,183,184,0.54
March 31 2023,Charleston,SC,Passenger,2,2,4,59,63,6.35
January 31 2023,Goochland,VA,Passenger,2,2,4,87,91,4.40
August 31 2021,Saratoga,NY,Passenger,1,0,1,42,43,2.33
April 30 2019,Whatcom,WA,Truck,2,0,2,42768,42770,0.00
January 31 2020,Washoe,NV,Passenger,1,0,1,115,116,0.86
May 31 2021,Fairfax,VA,Passenger,5,4,9,719,728,1.24
March 31 2019,Montgomery,MD,Passenger,1,0,1,276,277,0.36
September 30 2018,Richland,SC,Passenger,0,1,1,169,170,0.59
March 31 2019,Fulton,GA,Passenger,1,3,4,115,119,3.36
August 31 2021,Montgomery,MD,Passenger,3,1,4,213,217,1.84
February 28 2018,Dale,AL,Passenger,0,1,1,62,63,1.59
January 31 2023,Saratoga,NY,Passenger,1,1,2,40,42,4.76
July 31 2019,New Haven,CT,Passenger,0,2,2,46,48,4.17
October 31 2017,San Diego,CA,Passenger,5,1,6,2618,2624,0.23
May 31 2023,Lewis,WA,Truck,7,0,7,26029,26036,0.03
July 31 2021,Columbia,WA,Truck,0,0,0,1554,1554,0.00
July 31 2023,Asotin,WA,Truck,0,0,0,6631,6631,0.00
March 31 2022,Clallam,WA,Truck,1,0,1,22039,22040,0.00
January 31 2023,Riverside,CA,Passenger,7,0,7,437,444,1.58
December 31 2019,Middlesex,MA,Passenger,1,0,1,109,110,0.91
April 30 2021,Burlington,NJ,Passenger,0,1,1,132,133,0.75
November 30 2023,Orange,CA,Truck,1,0,1,62,63,1.59
August 31 2020,Palm Beach,FL,Passenger,0,2,2,80,82,2.44
December 31 2019,Williamson,TX,Passenger,0,2,2,151,153,1.31
August 31 2023,El Paso,TX,Passenger,3,0,3,280,283,1.06
October 31 2019,Jefferson,NY,Passenger,0,1,1,215,216,0.46
August 31 2023,Fredericksburg,VA,Passenger,1,0,1,5,6,16.67
November 30 2019,Carson City,NV,Passenger,1,0,1,10,11,9.09
February 28 2019,Collin,TX,Passenger,1,1,2,153,155,1.29
February 28 2017,Wahkiakum,WA,Passenger,0,1,1,2843,2844,0.04
October 31 2019,New Haven,CT,Passenger,0,2,2,47,49,4.08
December 31 2023,Marin,CA,Passenger,1,1,2,26,28,7.14
June 30 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
October 31 2022,Pinal,AZ,Passenger,0,1,1,120,121,0.83
August 31 2021,Lake,FL,Passenger,1,0,1,24,25,4.00
August 31 2020,Arapahoe,CO,Passenger,1,0,1,135,136,0.74
June 30 2023,Klickitat,WA,Passenger,151,64,215,15132,15347,1.40
